id,name,community,degree
facebook.com/1562714983772206,AMIGOS DE AMLO y CLAUDIA SHEINBAUM (2),1,449
facebook.com/groups/1099945933506382,Amigos de AMLO en Facebook,1,531
facebook.com/groups/202094939443504,Noroña 2024,1,27
facebook.com/groups/303122493036166,Seguidores de Gerardo Fernández Noroña,1,548
facebook.com/groups/1182647662125086,"PATRIOTA, UM NOVO BRASIL",2,22
facebook.com/groups/205233757891030,Patriota,2,18
facebook.com/groups/1458917710992327,AMÉRICA UNIDA CONTRA O FORO DE SÃO PAULO,2,20
facebook.com/groups/151619670176600,Carla Zambelli,3,545
facebook.com/groups/1806917002739426,BrazilWars,2,148
facebook.com/groups/233499073974766,ACZ,2,302
facebook.com/groups/251820432138395,Aliança pelo Brasil,2,182
facebook.com/groups/522471688180248,🇧🇷 FECHADO COM O POVO PELO BEM DO BRASIL 2023 🇧🇷,2,6
facebook.com/groups/2748132631935902,♡ ♡ T e e n s ♡ ♡!,4,1
facebook.com/1028207833910620,Ohnivý kuře,5,31
facebook.com/103431853058644,"Jste to, co jíte",5,31
facebook.com/125477330801477,TOP STAR,5,20
facebook.com/1401409376737982,Vyvolení 2013,5,32
facebook.com/1876655635924328,Lajk.cz,5,32
facebook.com/2214398435317853,CNN Prima NEWS,5,36
facebook.com/303794233506,Zpravodajství FTV Prima,5,36
facebook.com/522707181457833,COLOMBIA MAS HUMANA,6,88
facebook.com/150452905455,Andrew Klavan,7,12
facebook.com/839584852848620,Donald Trump is My President,7,10
facebook.com/1569014713329272,Seguidores de AMLO la 4T y MORENA,1,535
facebook.com/255716274964858,MAR DE *AMLOS* Y VOTO MASIVO POR *MORENA*,1,314
facebook.com/772527012935893,AMLO LA ESPERANZA AHORA COMO PRESIDENTE,1,315
facebook.com/groups/206662907507223,R.C.P. Resistencia Civil Pacífica TULTITLÁN 🇲🇽,1,27
facebook.com/groups/229863881435089,AMLO-MORENA Presidente de México,1,317
facebook.com/groups/252403342175951,Andres Manuel Lopez Obrador estamos contigo de principio a fin...,1,289
facebook.com/groups/259645951238107,TODOS SOMOS AMLO,1,352
facebook.com/groups/459691874739927,Noroña nos bloqueó,1,566
facebook.com/groups/471648576968971,Guerreros con AMLO ❤️,1,306
facebook.com/groups/289782199506023,Yo Voto Frente De Todos (Somos 30.000 | Grupo De VLV-Viralizando La Verdad),8,272
facebook.com/1160243874052158,NTD News,9,12
facebook.com/1246259845471061,NTD Canada,9,13
facebook.com/137187660126037,NTD Life,9,14
facebook.com/1615635982023706,Trending World by The Epoch Times,9,14
facebook.com/179417642100354,NTD Television,9,14
facebook.com/191207788025295,NTD India,9,11
facebook.com/254062855004923,NTD Australia,9,13
facebook.com/267418607121598,The Epoch Times Canada,9,12
facebook.com/523057704708898,Coverage of the Trump Presidency by The Epoch Times,9,13
facebook.com/groups/1199952180171463,Reforma Judicial YA,8,204
facebook.com/groups/1886386351640906,No Fue MAGIA!!!,8,207
facebook.com/groups/2247646742142791,Yo Banco A C5N (Somos 76.000 | Grupo De Cadena VLV - Viralizando La Verdad),8,406
facebook.com/1064008413756604,Katerina Janouch - journalistik och debatt,10,13
facebook.com/825891890832813,"Det räcker nu !! Jag vill ha omval, NU !!",10,8
facebook.com/groups/230108562122559,"Vi som stödjer SD (MP, C & L ut ur riksdagen för gott!)",10,11
facebook.com/groups/326671166010479,Nej till partiet Nyans och Visionpartiet,10,8
facebook.com/groups/494743197400369,Vi som vill arrestera och lagsöka den kriminella svenska regimen även retro,10,8
facebook.com/groups/798254427262365,STOPPA MAKTMISSBRUKET,10,6
facebook.com/196601040368145,Content.News Media,11,8
facebook.com/369527829841639,Groopspeak,11,8
facebook.com/groups/165108418640234,Gunguluza kwa 11 ETinarha,4,2
facebook.com/groups/1770440346455220,AmaTinarha Odwa,4,2
facebook.com/groups/155439707924782,Anything Sold in Malawi,12,2
facebook.com/groups/1799289850186564,"MALAWI'S ONLINE CAR MARKET BELOW MK2,000,000.00 ONLY!!",12,2
facebook.com/124493634232128,UOL Notícias,2,40
facebook.com/196979153651895,Partička,5,31
facebook.com/groups/208430983435587,Моя непереможна Україна!,13,163
facebook.com/groups/1313762478961843,Yo vivo en la localidad de Bosa,6,12
facebook.com/groups/1520961221397892,Los que vemos noticias uno la red independiente,6,323
facebook.com/groups/15774441733,suba !!!,3,385
facebook.com/groups/2006192543010471,USME ZONA 5,6,40
facebook.com/groups/2149917641908682,GUSTAVO PETRO ES MI PRESIDENTE,6,29
facebook.com/groups/228059261147906,USME OFICIAL,6,16
facebook.com/groups/244404886123120,Petro el verdadero candidato del pueblo,6,95
facebook.com/groups/2612438889026219,BARRIOS UNIDOS localidad bogota,6,12
facebook.com/groups/261309558097884,LA FISCALA USME,6,56
facebook.com/groups/2732060310418815,Colombia Apoya a Iván Cepeda 2.0 (Respaldo),6,320
facebook.com/groups/538685140178351,Vecinos Villemar Fontibón,6,12
facebook.com/groups/1634018566610938,Clamor Popular (Somos 66.000 | Grupo De Cadena VLV - Viralizando La Verdad),8,324
facebook.com/groups/1640545436208829,UNIDAD CFK BUENOS AIRES UNION POR LA PATRIA,8,157
facebook.com/groups/2156619054572738,Militantes De Cristina (Somos 9.000 | Grupo De VLV - Viralizando La Verdad),8,108
facebook.com/groups/266520117606967,Grupo en apoyo Al Juez Alejo Ramos Padilla,8,108
facebook.com/groups/272277996315291,"Victor Hugo Morales ,club de seguidores",8,319
facebook.com/groups/366563960056758,Unidad Ciudadana Buenos Aires,8,31
facebook.com/groups/400650309979286,PATRIA GRANDE LATINOAMERICANA,8,76
facebook.com/groups/571528406313734,AXEL KICILLOF GOBERNADOR 2019,8,230
facebook.com/1680367308843181,Frente de Todos,8,212
facebook.com/groups/1121631208379620,Baginda NABI BESAR MUHAMMAD SAW,14,160
facebook.com/groups/478149583302499,KEAJAIBAN SHOLAT TAHAJJUD �,14,161
facebook.com/groups/557009425727757,Keajaiban Sholat Dhuha & Sedekah,14,195
facebook.com/groups/606991090841694,KEAJAIBAN SHOLAT TAHAJJUD,14,70
facebook.com/groups/2404259309821495,ROCKY KIRABIRANYA NGOMBWA FANS GROUPE murihe? { H . F } 0780795748.,15,94
facebook.com/groups/251669949599211,Jűňø ķïžïğěňžă ���,15,117
facebook.com/groups/379115489455706,KISS FM 102.3 RWANDA,15,205
facebook.com/groups/154474475183871,INKURU Z'URUKUNDO NA STORY ZISEKEJE(I U N S Z.LoVE),15,64
facebook.com/groups/1045608568821804,Vecinos de Remedios de Escalada y Lanús,8,37
facebook.com/groups/1822968637866919,Apoyo total al diputado Rodolfo Tailhade,8,166
facebook.com/groups/264623490660867,QUE PASA EN LANUS?,8,29
facebook.com/groups/2835144730050929,C5n en vivo,8,71
